s1,s2,result
8.48053e+09,3.62072e+11,-3.53592e+11
4.75176e+10,2.72582e+11,-2.25064e+11
4.75176e+10,2.72582e+11,-2.25064e+11
4.75176e+10,2.78091e+11,-2.30573e+11
1.10134e+11,1.67968e+11,-5.78331e+10
2.00709e+11,8.07256e+10,1.19983e+11
2.00709e+11,6.44875e+10,1.36221e+11
2.00709e+11,6.36664e+10,1.37042e+11
2.00709e+11,6.36664e+10,1.37042e+11
2.00709e+11,6.36664e+10,1.37042e+11
2.61052e+11,1.49711e+10,2.46081e+11
2.61052e+11,1.49711e+10,2.46081e+11
2.38255e+11,2.45377e+10,2.13718e+11
2.38255e+11,1.76644e+10,2.20591e+11
2.21274e+11,4.88868e+09,2.16385e+11
2.19361e+11,2.12396e+10,1.98121e+11
2.19361e+11,7.53474e+10,1.44013e+11
2.13415e+11,1.18699e+11,9.47157e+10
2.13415e+11,1.18699e+11,9.47157e+10
2.57173e+11,2.05987e+11,5.11858e+10
2.57173e+11,3.02923e+11,-4.57503e+10
1.79886e+11,2.60894e+11,-8.10077e+10
1.79886e+11,2.60894e+11,-8.10077e+10
1.79886e+11,2.60894e+11,-8.10077e+10
1.79886e+11,2.60894e+11,-8.10077e+10
9.34591e+10,1.47768e+11,-5.4309e+10
9.34591e+10,1.47768e+11,-5.4309e+10
9.34591e+10,1.47768e+11,-5.4309e+10
3.06247e+10,7.92051e+10,-4.85804e+10
3.06247e+10,2.26703e+10,7.95443e+09
2.99221e+09,3.36147e+10,-3.06225e+10
2.89602e+10,6.33134e+09,2.26288e+10
2.89602e+10,3.88987e+10,-9.93856e+09
2.89602e+10,1.07779e+11,-7.88187e+10
2.89602e+10,2.07299e+11,-1.78338e+11
1.78937e+10,2.27372e+11,-2.09479e+11
1.78937e+10,2.27372e+11,-2.09479e+11
5.15596e+10,2.10809e+11,-1.5925e+11
5.15596e+10,3.1129e+11,-2.59731e+11
1.26662e+11,2.71457e+11,-1.44794e+11
1.26662e+11,2.71457e+11,-1.44794e+11
5.18355e+10,4.2196e+11,-3.70124e+11
1.23533e+11,2.97083e+11,-1.73549e+11
5.673e+10,4.30713e+11,-3.73983e+11
3.08274e+10,5.68978e+11,-5.38151e+11
3.08274e+10,5.03602e+11,-4.72774e+11
3.08274e+10,4.23539e+11,-3.92711e+11
6.07543e+10,5.04276e+11,-4.43521e+11
6.07543e+10,5.04276e+11,-4.43521e+11
6.07543e+10,5.04276e+11,-4.43521e+11
1.39987e+11,4.64656e+11,-3.24669e+11
5.91223e+10,3.7608e+11,-3.16958e+11
1.2978e+10,3.65716e+11,-3.52738e+11
5.76269e+10,2.27295e+11,-1.69668e+11
1.34042e+11,1.19608e+11,1.44344e+10
1.34042e+11,1.2085e+11,1.31922e+10
1.34042e+11,1.81044e+11,-4.70013e+10
1.34042e+11,2.95231e+11,-1.61189e+11
8.79918e+10,3.96617e+11,-3.08625e+11
8.79918e+10,3.96617e+11,-3.08625e+11
1.10317e+11,5.3473e+11,-4.24413e+11
1.10317e+11,6.9745e+11,-5.87133e+11
1.10317e+11,6.9745e+11,-5.87133e+11
1.10317e+11,6.9745e+11,-5.87133e+11
1.10317e+11,6.9745e+11,-5.87133e+11
1.00566e+11,8.80503e+11,-7.79937e+11
1.00566e+11,8.80503e+11,-7.79937e+11
1.00566e+11,8.80503e+11,-7.79937e+11
8.67763e+10,9.19073e+11,-8.32297e+11
9.52372e+10,9.20109e+11,-8.24872e+11
9.52372e+10,6.97672e+11,-6.02435e+11
1.11742e+11,5.92783e+11,-4.81041e+11
8.29967e+10,4.53679e+11,-3.70682e+11
8.29967e+10,3.18205e+11,-2.35208e+11
6.61158e+10,1.88495e+11,-1.22379e+11
7.3048e+10,9.29351e+10,-1.9887e+10
7.3048e+10,9.29351e+10,-1.9887e+10
9.25737e+10,5.28795e+10,3.96942e+10
9.25737e+10,1.18953e+11,-2.63796e+10
1.22782e+11,1.72251e+11,-4.94694e+10
1.22782e+11,1.72251e+11,-4.94694e+10
1.22782e+11,1.72251e+11,-4.94694e+10
1.46461e+11,2.98232e+11,-1.51771e+11
